idx,section,scholar,latin_name,found,collection_type,collection_url,estimated_volumes,query_used
0,宗教學,韋伯（Max Weber）,Max Weber,Y,Gesamtausgabe,https://www.bayerische-akademie.de/akademie-organisation/wissenschaftliche-projekte/max-weber-gesamtausgabe.html,47,"""Max Weber"" collected works archive.org OR monoskop OR gesamtausgabe filetype:pdf"
1,宗教學,涂爾幹（Émile Durkheim）,Émile Durkheim,Y,Author profile (Monoskop),https://monoskop.org/%C3%89mile_Durkheim,,"""Émile Durkheim"" collected works archive.org OR monoskop OR gesamtausgabe filetype:pdf"
2,宗教學,馬克思（Karl Marx）,Karl Marx,Y,Collected Works,https://www.marxists.org/archive/marx/works/cw/index.htm,50,"""Karl Marx"" collected works archive.org OR monoskop OR gesamtausgabe filetype:pdf"
3,宗教學,伯格（Peter Berger）,Peter Berger,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Peter%20Berger%22,,(constructed-url-rescue)
4,宗教學,伊利亞德（Mircea Eliade）,Mircea Eliade,Y,Author profile (Monoskop),https://monoskop.org/Mircea_Eliade,,"""Mircea Eliade"" collected works archive.org OR monoskop OR gesamtausgabe filetype:pdf"
5,宗教學,雷蒙‧潘尼卡（Raimon Panikkar）,Raimon Panikkar,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Raimon%20Panikkar%22,,(constructed-url-rescue)
6,宗教學,約翰‧希克（John Hick）,John Hick,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22John%20Hick%22,,(constructed-url-rescue)
7,宗教學,穆勒（Friedrich Max Müller）,Friedrich Max Müller,Y,Collected Works,https://archive.org/details/collectedworks00mlgoog,9+,"""Friedrich Max Müller"" collected works archive.org OR monoskop filetype:pdf"
8,宗教學,費爾巴哈（Ludwig Feuerbach）,Ludwig Feuerbach,Y,Gesammelte Werke,https://philarchive.org/archive/FEUZKD,,"""Ludwig Feuerbach"" collected works archive.org OR monoskop OR gesammelte filetype:pdf"
9,宗教學,詹姆士（William James）,William James,Y,Collected Works,"https://onlinebooks.library.upenn.edu/webbin/book/lookupname?key=James,+William,+1842-1910",18,"""William James"" collected works archive.org OR monoskop filetype:pdf"
10,宗教學,奧托（Rudolf Otto）,Rudolf Otto,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Rudolf+Otto%22,,"""Rudolf Otto"" collected works archive.org OR monoskop filetype:pdf"
11,宗教學,弗雷澤（James Frazer）,James Frazer,Y,Collected Works,https://commons.wikimedia.org/wiki/Category:The_Golden_Bough,12,"""James Frazer"" Golden Bough collected works archive.org filetype:pdf"
12,宗教學,沃克（Joachim Wach）,Joachim Wach,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Joachim%20Wach%22,,(constructed-url-rescue)
13,宗教學,史密斯（Wilfred Cantwell Smith）,Wilfred Cantwell Smith,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Wilfred%20Cantwell%20Smith%22,,(constructed-url-rescue)
14,宗教學,斯馬特（Ninian Smart）,Ninian Smart,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Ninian%20Smart%22,,(constructed-url-rescue)
15,宗教學,尤里（Bryan Wilson）,Bryan Wilson,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Bryan%20Wilson%22,,(constructed-url)
16,宗教學,坎伯（Joseph Campbell）,Joseph Campbell,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Joseph%20Campbell%22,,(constructed-url)
17,社會學,齊美爾（Georg Simmel）,Georg Simmel,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Georg%20Simmel%22,,(constructed-url)
18,社會學,帕森斯（Talcott Parsons）,Talcott Parsons,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Talcott%20Parsons%22,,(constructed-url)
19,社會學,布迪厄（Pierre Bourdieu）,Pierre Bourdieu,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Pierre%20Bourdieu%22,,(constructed-url)
20,社會學,哈伯馬斯（Jürgen Habermas）,Jürgen Habermas,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22J%C3%BCrgen%20Habermas%22,,(constructed-url)
21,社會學,戈夫曼（Erving Goffman）,Erving Goffman,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Erving%20Goffman%22,,(constructed-url)
22,社會學,默頓（Robert K. Merton）,Robert K. Merton,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Robert%20K.%20Merton%22,,(constructed-url)
23,社會學,紀登斯（Anthony Giddens）,Anthony Giddens,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Anthony%20Giddens%22,,(constructed-url)
24,社會學,傅柯（Michel Foucault）,Michel Foucault,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Michel%20Foucault%22,,(constructed-url)
25,社會學,鮑曼（Zygmunt Bauman）,Zygmunt Bauman,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Zygmunt%20Bauman%22,,(constructed-url)
26,社會學,貝克（Ulrich Beck）,Ulrich Beck,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Ulrich%20Beck%22,,(constructed-url)
27,社會學,拉圖（Bruno Latour）,Bruno Latour,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Bruno%20Latour%22,,(constructed-url)
28,社會學,亞當斯密（Adam Smith）,Adam Smith,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Adam%20Smith%22,,(constructed-url)
29,社會學,孔德（Auguste Comte）,Auguste Comte,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Auguste%20Comte%22,,(constructed-url)
30,社會學,阿宏（Raymond Aron）,Raymond Aron,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Raymond%20Aron%22,,(constructed-url)
31,心理學,佛洛伊德（Sigmund Freud）,Sigmund Freud,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Sigmund%20Freud%22,,(constructed-url)
32,心理學,榮格（Carl Jung）,Carl Jung,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Carl%20Jung%22,,(constructed-url)
33,心理學,阿德勒（Alfred Adler）,Alfred Adler,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Alfred%20Adler%22,,(constructed-url)
34,心理學,馬斯洛（Abraham Maslow）,Abraham Maslow,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Abraham%20Maslow%22,,(constructed-url)
35,心理學,羅傑斯（Carl Rogers）,Carl Rogers,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Carl%20Rogers%22,,(constructed-url)
36,心理學,弗蘭克（Viktor Frankl）,Viktor Frankl,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Viktor%20Frankl%22,,(constructed-url)
37,心理學,梅（Rollo May）,Rollo May,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Rollo%20May%22,,(constructed-url)
38,心理學,亞隆（Irvin Yalom）,Irvin Yalom,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Irvin%20Yalom%22,,(constructed-url)
39,心理學,佛洛姆（Erich Fromm）,Erich Fromm,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Erich%20Fromm%22,,(constructed-url)
40,心理學,皮亞傑（Jean Piaget）,Jean Piaget,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Jean%20Piaget%22,,(constructed-url)
41,心理學,維高斯基（Lev Vygotsky）,Lev Vygotsky,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Lev%20Vygotsky%22,,(constructed-url)
42,心理學,史金納（B.F. Skinner）,B.F. Skinner,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22B.F.%20Skinner%22,,(constructed-url)
43,心理學,艾瑞克森（Erik Erikson）,Erik Erikson,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Erik%20Erikson%22,,(constructed-url)
44,心理學,拉康（Jacques Lacan）,Jacques Lacan,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Jacques%20Lacan%22,,(constructed-url)
45,人類學,泰勒（Edward Tylor）,Edward Tylor,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Edward%20Tylor%22,,(constructed-url)
46,人類學,馬林諾夫斯基（Bronislaw Malinowski）,Bronislaw Malinowski,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Bronislaw%20Malinowski%22,,(constructed-url)
47,人類學,博厄斯（Franz Boas）,Franz Boas,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Franz%20Boas%22,,(constructed-url)
48,人類學,米德（Margaret Mead）,Margaret Mead,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Margaret%20Mead%22,,(constructed-url)
49,人類學,李維-史陀（Claude Lévi-Strauss）,Claude Lévi-Strauss,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Claude%20L%C3%A9vi-Strauss%22,,(constructed-url)
50,人類學,薩林斯（Marshall Sahlins）,Marshall Sahlins,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Marshall%20Sahlins%22,,(constructed-url)
51,人類學,葛茨（Clifford Geertz）,Clifford Geertz,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Clifford%20Geertz%22,,(constructed-url)
52,人類學,道格拉斯（Mary Douglas）,Mary Douglas,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Mary%20Douglas%22,,(constructed-url)
53,人類學,特納（Victor Turner）,Victor Turner,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Victor%20Turner%22,,(constructed-url)
54,人類學,莫斯（Marcel Mauss）,Marcel Mauss,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Marcel%20Mauss%22,,(constructed-url)
55,人類學,艾文思-普里查（E.E. Evans-Pritchard）,E.E. Evans-Pritchard,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22E.E.%20Evans-Pritchard%22,,(constructed-url)
56,人類學,拉德克利夫-布朗（A.R. Radcliffe-Brown）,A.R. Radcliffe-Brown,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22A.R.%20Radcliffe-Brown%22,,(constructed-url)
57,近代哲學,笛卡兒（René Descartes）,René Descartes,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Ren%C3%A9%20Descartes%22,,(constructed-url)
58,近代哲學,斯賓諾莎（Baruch Spinoza）,Baruch Spinoza,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Baruch%20Spinoza%22,,(constructed-url)
59,近代哲學,萊布尼茲（Gottfried Leibniz）,Gottfried Leibniz,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Gottfried%20Leibniz%22,,(constructed-url)
60,近代哲學,洛克（John Locke）,John Locke,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22John%20Locke%22,,(constructed-url)
61,近代哲學,休謨（David Hume）,David Hume,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22David%20Hume%22,,(constructed-url)
62,近代哲學,康德（Immanuel Kant）,Immanuel Kant,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Immanuel%20Kant%22,,(constructed-url)
63,近代哲學,黑格爾（G.W.F. Hegel）,G.W.F. Hegel,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22G.W.F.%20Hegel%22,,(constructed-url)
64,近代哲學,謝林（F.W.J. Schelling）,F.W.J. Schelling,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22F.W.J.%20Schelling%22,,(constructed-url)
65,近代哲學,費希特（Johann Fichte）,Johann Fichte,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Johann%20Fichte%22,,(constructed-url)
66,近代哲學,叔本華（Arthur Schopenhauer）,Arthur Schopenhauer,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Arthur%20Schopenhauer%22,,(constructed-url)
67,近代哲學,尼采（Friedrich Nietzsche）,Friedrich Nietzsche,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Friedrich%20Nietzsche%22,,(constructed-url)
68,近代哲學,齊克果（Søren Kierkegaard）,Søren Kierkegaard,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22S%C3%B8ren%20Kierkegaard%22,,(constructed-url)
69,近代哲學,彌爾（John Stuart Mill）,John Stuart Mill,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22John%20Stuart%20Mill%22,,(constructed-url)
70,近代哲學,羅素（Bertrand Russell）,Bertrand Russell,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Bertrand%20Russell%22,,(constructed-url)
71,近代哲學,維根斯坦（Ludwig Wittgenstein）,Ludwig Wittgenstein,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Ludwig%20Wittgenstein%22,,(constructed-url)
72,近代哲學,懷海德（Alfred North Whitehead）,Alfred North Whitehead,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Alfred%20North%20Whitehead%22,,(constructed-url)
73,近代哲學,羅蒂（Richard Rorty）,Richard Rorty,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Richard%20Rorty%22,,(constructed-url)
74,近代哲學,羅爾斯（John Rawls）,John Rawls,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22John%20Rawls%22,,(constructed-url)
75,現象學,胡塞爾（Edmund Husserl）,Edmund Husserl,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Edmund%20Husserl%22,,(constructed-url)
76,現象學,海德格（Martin Heidegger）,Martin Heidegger,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Martin%20Heidegger%22,,(constructed-url)
77,現象學,梅洛-龐蒂（Maurice Merleau-Ponty）,Maurice Merleau-Ponty,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Maurice%20Merleau-Ponty%22,,(constructed-url)
78,現象學,沙特（Jean-Paul Sartre）,Jean-Paul Sartre,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Jean-Paul%20Sartre%22,,(constructed-url)
79,現象學,舒茲（Alfred Schutz）,Alfred Schutz,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Alfred%20Schutz%22,,(constructed-url)
80,現象學,列維納斯（Emmanuel Levinas）,Emmanuel Levinas,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Emmanuel%20Levinas%22,,(constructed-url)
81,現象學,呂格爾（Paul Ricœur）,Paul Ricœur,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Paul%20Ric%C5%93ur%22,,(constructed-url)
82,現象學,漢娜‧鄂蘭（Hannah Arendt）,Hannah Arendt,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Hannah%20Arendt%22,,(constructed-url)
83,現象學,加達默爾（Hans-Georg Gadamer）,Hans-Georg Gadamer,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Hans-Georg%20Gadamer%22,,(constructed-url)
84,現象學,德里達（Jacques Derrida）,Jacques Derrida,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Jacques%20Derrida%22,,(constructed-url)
85,現象學,德勒茲（Gilles Deleuze）,Gilles Deleuze,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Gilles%20Deleuze%22,,(constructed-url)
86,現象學,阿岡本（Giorgio Agamben）,Giorgio Agamben,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Giorgio%20Agamben%22,,(constructed-url)
87,現象學,柏格森（Henri Bergson）,Henri Bergson,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Henri%20Bergson%22,,(constructed-url)
88,現象學,尼可萊‧哈特曼（Nicolai Hartmann）,Nicolai Hartmann,Y,Author profile (Archive.org),https://archive.org/search?query=creator%3A%22Nicolai%20Hartmann%22,,(constructed-url)
