idx,section,scholar,title,found,best_url,all_pdf_urls,query_used
0,宗教學,涂爾幹（Émile Durkheim）,自殺論,Y,https://dn720006.ca.archive.org/0/items/english-collections-k-z/Suicide_%20A%20Study%20in%20Sociology%20-%20Emile%20Durkheim.pdf,https://dn720006.ca.archive.org/0/items/english-collections-k-z/Suicide_%20A%20Study%20in%20Sociology%20-%20Emile%20Durkheim.pdf|https://www.gacbe.ac.in/images/E%20books/Durkheim%20-%20Suicide%20-%20A%20study%20in%20sociology.pdf|https://raggeduniversity.co.uk/wp-content/uploads/2025/02/1_x_1_x_RoutledgeClassicsEmileDurkheimSuicideAStudyinSociologyRoutledge25.pdf,Suicide A Study in Sociology Durkheim filetype:pdf (retry-en)
1,宗教學,涂爾幹（Émile Durkheim）,社會分工論,Y,https://tpl.ncl.edu.tw/NclService/JournalContentDetail?SysId=A01038891,https://tpl.ncl.edu.tw/NclService/JournalContentDetail?SysId=A01038891|https://edujou.site.nthu.edu.tw/var/file/128/1128/img/1172/4-5.pdf|https://commons.m.wikimedia.org/wiki/File:NLC416-01jh001158-10730_社會分工論.pdf,"""社會分工論"" 涂爾幹 pdf 下載"
2,宗教學,雷蒙‧潘尼卡（Raimon Panikkar）,宇宙—神—人共融,N,,,The Cosmotheandric Experience Panikkar filetype:pdf (retry-en)
3,宗教學,雷蒙‧潘尼卡（Raimon Panikkar）,Hindu-Christian Theology,Y,https://cedejbiblioteca.unav.edu/web/centro-de-estudios-josemaria-escriva/biblioteca-virtual/high.raw?id=0000015537&name=00000001.original.pdf,https://cedejbiblioteca.unav.edu/web/centro-de-estudios-josemaria-escriva/biblioteca-virtual/high.raw?id=0000015537&name=00000001.original.pdf|https://gerardhallsm.wordpress.com/wp-content/uploads/2018/08/hall-panikkars-radical-trinity.pdf|https://dimmid.org/vertical/sites/x/uploads/Aguilar_on_Panikkar_PDF.pdf|https://www.jamesclarke.co/storage/extracts/raimon-panikkar-intro.pdf|https://www.redalyc.org/pdf/1910/191015362007.pdf|https://www.agustinosvalladolid.es/estudio/investigacion/estudioagustiniano/estudiofondos/estudio2009/estudio_2009_1_03.pdf|https://gerardhallsm.wordpress.com/wp-content/uploads/2019/07/hall_panikkarthesis_bibliography.pdf,"""Hindu-Christian Theology"" Raimon Panikkar filetype:pdf"
4,宗教學,雷蒙‧潘尼卡（Raimon Panikkar）,宗教對話,Y,http://www.rsd.fju.edu.tw/images/uploads/FJRS/26-08.pdf,http://www.rsd.fju.edu.tw/images/uploads/FJRS/26-08.pdf,"""宗教對話"" 雷蒙‧潘尼卡 pdf 下載"
5,宗教學,雷蒙‧潘尼卡（Raimon Panikkar）,不二論,Y,http://bemindful.weebly.com/uploads/1/4/2/3/14235552/dhamma_and_non-duality_v2.0_cht_.pdf,http://bemindful.weebly.com/uploads/1/4/2/3/14235552/dhamma_and_non-duality_v2.0_cht_.pdf,"""不二論"" 雷蒙‧潘尼卡 pdf 下載"
6,宗教學,穆勒（Friedrich Max Müller）,比較宗教學,Y,https://upload.wikimedia.org/wikipedia/commons/0/09/Introduction_To_The_Science_Of_Religion_(IA_IntroductionToTheScienceOfReligion).pdf,https://upload.wikimedia.org/wikipedia/commons/0/09/Introduction_To_The_Science_Of_Religion_(IA_IntroductionToTheScienceOfReligion).pdf,Introduction to the Science of Religion Max Muller filetype:pdf (retry-en)
7,宗教學,穆勒（Friedrich Max Müller）,Chips from a German Workshop,Y,"https://www.um.edu.mt/library/oar/bitstream/123456789/42903/1/Antae,_6(1)_-_A1.pdf","https://www.um.edu.mt/library/oar/bitstream/123456789/42903/1/Antae,_6(1)_-_A1.pdf|https://dl.icdst.org/pdfs/files4/35e611b823013374c4c085d33e7a2341.pdf|https://commons.m.wikimedia.org/wiki/File:Chips_From_A_German_Workshop_(IA_in.ernet.dli.2015.499148).pdf|https://commons.wikimedia.org/wiki/File:Chips_from_a_German_Workshop_(IA_chipsfromagerma02mlgoog).pdf","""Chips from a German Workshop"" Friedrich Max Müller filetype:pdf"
8,宗教學,穆勒（Friedrich Max Müller）,東方聖書,Y,https://ia801403.us.archive.org/11/items/in.ernet.dli.2015.177585/2015.177585.The-Sacred-Books-Of-The-East-Vol-I.pdf,https://ia801403.us.archive.org/11/items/in.ernet.dli.2015.177585/2015.177585.The-Sacred-Books-Of-The-East-Vol-I.pdf|https://upload.wikimedia.org/wikipedia/commons/f/f9/The_Sacred_Books_Of_The_East_Vol_VIII_(IA_sacredbooksofthe015782mbp).pdf|https://antilogicalism.com/wp-content/uploads/2021/04/50.SacredBooksEast.pdf|https://lakshminarayanlenasia.com/articles/The-Sacred-Books-of-the-East_Muller.pdf,Sacred Books of the East Max Muller filetype:pdf (retry-en)
9,宗教學,奧托（Rudolf Otto）,論神聖,Y,https://upload.wikimedia.org/wikipedia/commons/4/4b/Rudolf_Otto_(translated_by_Harvey)_-_The_Idea_of_the_Holy_-_An_Inquiry_into_the_Non-Rational_Factor_in_the_Idea_of_the_Divine_and_Its_Relation_to_the_Rational.pdf,https://upload.wikimedia.org/wikipedia/commons/4/4b/Rudolf_Otto_(translated_by_Harvey)_-_The_Idea_of_the_Holy_-_An_Inquiry_into_the_Non-Rational_Factor_in_the_Idea_of_the_Divine_and_Its_Relation_to_the_Rational.pdf|https://faculty.trinity.edu/mbrown/whatisreligion/PDF%20readings/Otto-Idea%20of%20the%20Holy.pdf|https://myweb.ttu.edu/jhowe/documents/Otto.pdf|https://www.qcc.cuny.edu/socialSciences/ppecorino/INTRO_TEXT/Chapter%203%20Religion/CH-3-Documents/ch3-The%20Idea%20of%20the%20Holy%20by%20Otto.pdf,The Idea of the Holy Rudolf Otto filetype:pdf (retry-en)
10,宗教學,奧托（Rudolf Otto）,The Idea of the Holy,Y,https://faculty.trinity.edu/mbrown/whatisreligion/PDF%20readings/Otto-Idea%20of%20the%20Holy.pdf,https://faculty.trinity.edu/mbrown/whatisreligion/PDF%20readings/Otto-Idea%20of%20the%20Holy.pdf|https://www.qcc.cuny.edu/socialSciences/ppecorino/INTRO_TEXT/Chapter%203%20Religion/CH-3-Documents/ch3-The%20Idea%20of%20the%20Holy%20by%20Otto.pdf|https://pu.edu.pk/images/journal/phill/pdf_files/The%20Idea%20of%20The%20Holy.pdf|https://myweb.ttu.edu/jhowe/documents/Otto.pdf|https://cdn.bookey.app/files/pdf/book/en/the-idea-of-the-holy.pdf|https://upload.wikimedia.org/wikipedia/commons/4/4b/Rudolf_Otto_(translated_by_Harvey)_-_The_Idea_of_the_Holy_-_An_Inquiry_into_the_Non-Rational_Factor_in_the_Idea_of_the_Divine_and_Its_Relation_to_the_Rational.pdf|https://commons.wikimedia.org/wiki/File:Rudolf_Otto_(translated_by_Harvey)_-_The_Idea_of_the_Holy_-_An_Inquiry_into_the_Non-Rational_Factor_in_the_Idea_of_the_Divine_and_Its_Relation_to_the_Rational.pdf,"""The Idea of the Holy"" Rudolf Otto filetype:pdf"
11,宗教學,沃克（Joachim Wach）,比較宗教學,Y,http://homepage.ntu.edu.tw/~tsaiyt/pdf/c-ntu-95-2-1.pdf,http://homepage.ntu.edu.tw/~tsaiyt/pdf/c-ntu-95-2-1.pdf,"""比較宗教學"" 沃克 pdf 下載"
12,宗教學,沃克（Joachim Wach）,Comparative Study of Religions,Y,"https://media.sabda.org/alkitab-2/Religion-Online.org%20Books/Wach,%20Joachim%20-%20Essays%20in%20the%20History%20of%20Religions.pdf","https://media.sabda.org/alkitab-2/Religion-Online.org%20Books/Wach,%20Joachim%20-%20Essays%20in%20the%20History%20of%20Religions.pdf|https://lib.manaraa.com/books/JOACHIM%20WACH%20AND%20THE%20COMPARATIVE%20STUDY%20OF%20RELIGION%20A%20TEST%20OF%20HIS%20METHODOLOGY%20FOR%20THE%20COMPARATIVE%20STUDY%20OF%20RELIGIOUS%20THOUGHT%20IN%20THE%20CONTEXT%20OF%20HIS%20GENERAL%20APPROACH%20TO%20THE%20COMPARATIVE%20STUDY%20OF%20RELIGION.pdf","""Comparative Study of Religions"" Joachim Wach filetype:pdf"
13,宗教學,斯馬特（Ninian Smart）,Worldviews,Y,https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=1469&context=ccr,https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=1469&context=ccr|https://img1.wsimg.com/blobby/go/e4ad6e04-69d1-4aa9-ba9f-c194e0ac5eef/downloads/the_worlds_religions_ninian_smart.pdf|https://link.springer.com/content/pdf/10.1007/BF02786040.pdf|https://www.tparents.org/Library/Unification/Talks1/Smart/Smart-190107.pdf,"""Worldviews"" Ninian Smart filetype:pdf"
14,宗教學,斯馬特（Ninian Smart）,Dimensions of the Sacred,Y,https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=1469&context=ccr,https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=1469&context=ccr|https://newseumed.org/sites/default/files/2020-11/download-RFC-Smart-0520207777-1-25.pdf|https://dkodaj.net/pdf/otto/Smart%20%5B1996%5D%20Dimensions%20of%20the%20Sacred.pdf,"""Dimensions of the Sacred"" Ninian Smart filetype:pdf"
15,社會學,齊美爾（Georg Simmel）,貨幣哲學,Y,https://dywh.sicnu.edu.cn/files/dywh/news/635016182322753750.pdf,https://dywh.sicnu.edu.cn/files/dywh/news/635016182322753750.pdf|https://www.cuhk.edu.hk/ics/21c/media/articles/c065-200105042.pdf,"""貨幣哲學"" 齊美爾 pdf 下載"
16,社會學,齊美爾（Georg Simmel）,The Philosophy of Money,Y,https://mason.gmu.edu/~rwagner/SimmelMoney.pdf,https://mason.gmu.edu/~rwagner/SimmelMoney.pdf|https://cdn.bookey.app/files/pdf/book/en/the-philosophy-of-money.pdf|https://www.eddiejackson.net/web_documents/Philosophy%20of%20Money.pdf|https://polish-sociological-review.eu/pdf-119061-47825?filename=Georg+Simmel_s+The.pdf,"""The Philosophy of Money"" Georg Simmel filetype:pdf"
17,社會學,齊美爾（Georg Simmel）,社會學基本問題,Y,https://ah.nccu.edu.tw/bitstream/140.119/99634/1/008101.pdf,https://ah.nccu.edu.tw/bitstream/140.119/99634/1/008101.pdf|http://www.shehui.pku.edu.cn/upload/editor/file/20171227/20171227103644_2538.pdf,"""社會學基本問題"" 齊美爾 pdf 下載"
18,社會學,帕森斯（Talcott Parsons）,社會行動的結構,Y,http://www.shehui.pku.edu.cn/upload/editor/file/20201104/20201104135720_8377.pdf,http://www.shehui.pku.edu.cn/upload/editor/file/20201104/20201104135720_8377.pdf|https://www.nhu.edu.tw/~edusoc/bookindex/book/parsons/content.htm,"""社會行動的結構"" 帕森斯 pdf 下載"
